N,arrival_rate,method,threshold,delta,max_platoon_size,Pmax,case_count,optimality_rate,mean_average_delay_or_incumbent,median_average_delay_or_incumbent,mean_terminal_mip_gap,mean_solve_time_s,mean_end_to_end_time_s,mean_model_construction_time_s,mean_node_count,mean_number_of_platoons,mean_ordering_variable_count,mean_dimension_reduction_ratio,delay_order_check_case_count,delay_order_failure_count
20,0.4,CHP,2,2,NA,NA,20,1.0,7.38,7.5,0.0,0.07492401599884033,0.0800663466289165,0.005086555471643805,2237.4,10.05,39.0,0.74,0,0
20,0.4,CHP,4,4,NA,NA,20,1.0,8.0175,8.125,0.0,0.00972667932510376,0.013740567643544125,0.00396231091581285,86.7,6.2,14.7,0.9019999999999999,0,0
20,0.4,CHP,6,6,NA,NA,20,1.0,8.545,8.75,0.0,0.003861558437347412,0.0076814050633943086,0.0037692266050726175,3.7,4.9,8.9,0.9406666666666667,0,0
20,0.4,CHP,8,8,NA,NA,20,1.0,8.584999999999999,8.850000000000001,0.0,0.003369462490081787,0.007055860279583955,0.003637087717652321,3.7,4.5,7.6,0.9493333333333333,0,0
20,0.4,NP,NA,NA,1,1,20,1.0,7.315,7.5,0.0,6.5691468000411986,6.575756441579891,0.006553307082504034,80865.25,20.0,150.0,0.0,0,0
20,0.4,PP,2,2,2,2,20,1.0,7.37,7.5,0.0,0.2594364047050476,0.2647591388959396,0.005267481971532107,6941.9,13.4,67.45,0.5503333333333333,20,0
20,0.4,PP,2,2,4,4,20,1.0,7.37,7.5,0.0,0.0792417049407959,0.08400794614058812,0.00471222996711731,2335.65,10.75,43.85,0.7076666666666667,20,0
20,0.4,PP,2,2,6,6,20,1.0,7.38,7.5,0.0,0.07340584993362427,0.07794760470166316,0.004488909337669611,2237.4,10.05,39.0,0.74,20,0
20,0.4,PP,2,2,8,8,20,1.0,7.38,7.5,0.0,0.07337536811828613,0.07800908765592555,0.004580532759428024,2237.4,10.05,39.0,0.74,20,0
20,0.4,PP,4,4,2,2,20,1.0,7.57,7.75,0.0,0.09709594249725342,0.10188098006222261,0.004733102070167661,2605.4,12.25,56.25,0.625,20,0
20,0.4,PP,4,4,4,4,20,1.0,7.9425,8.125,0.0,0.0235231876373291,0.02778719213898046,0.004210941772907972,214.7,8.5,27.0,0.82,20,0
20,0.4,PP,4,4,6,6,20,1.0,8.0175,8.125,0.0,0.009590137004852294,0.013501611669679475,0.0038592967670410872,86.7,6.2,14.7,0.9019999999999999,20,0
20,0.4,PP,4,4,8,8,20,1.0,8.0175,8.125,0.0,0.009551870822906493,0.01350309492379775,0.0038998419884592296,86.7,6.2,14.7,0.9019999999999999,20,0
20,0.4,PP,6,6,2,2,20,1.0,7.652500000000001,8.1,0.0,0.0926285743713379,0.09715984840095528,0.0044816260691732165,2259.95,12.05,54.45,0.637,20,0
20,0.4,PP,6,6,4,4,20,1.0,8.24,8.325,0.0,0.019367146492004394,0.023518542669928814,0.00409915647469461,130.7,8.05,24.3,0.8379999999999999,20,0
20,0.4,PP,6,6,6,6,20,1.0,8.545,8.75,0.0,0.003983974456787109,0.007698319958199048,0.003663767781108618,3.7,4.9,8.9,0.9406666666666667,20,0
20,0.4,PP,6,6,8,8,20,1.0,8.545,8.75,0.0,0.0038465619087219237,0.007598328980356503,0.003701230278238654,3.7,4.9,8.9,0.9406666666666667,20,0
20,0.4,PP,8,8,2,2,20,1.0,7.652500000000001,8.1,0.0,0.09217331409454346,0.09674524500552575,0.004520792793482542,2248.25,12.0,54.0,0.64,20,0
20,0.4,PP,8,8,4,4,20,1.0,8.28,8.575,0.0,0.018403184413909913,0.022652250789589667,0.00419653975404799,122.35,8.0,24.0,0.8400000000000001,20,0
20,0.4,PP,8,8,6,6,20,1.0,8.584999999999999,8.850000000000001,0.0,0.003527629375457764,0.007284777906741644,0.0037059143651276827,3.7,4.5,7.6,0.9493333333333333,20,0
20,0.4,PP,8,8,8,8,20,1.0,8.584999999999999,8.850000000000001,0.0,0.003530728816986084,0.0073261638656648646,0.003745620092377067,3.7,4.5,7.6,0.9493333333333333,20,0
20,0.7,CHP,2,2,NA,NA,20,1.0,8.9375,8.725,0.0,0.022826337814331056,0.027677492306818367,0.004795722430571914,256.95,7.2,19.6,0.8693333333333333,0,0
20,0.7,CHP,4,4,NA,NA,20,1.0,9.1625,9.425,0.0,0.004072380065917969,0.00797368110649581,0.003849741630256176,6.15,4.75,8.4,0.944,0,0
20,0.7,CHP,6,6,NA,NA,20,1.0,9.43,9.5,0.0,0.0029261112213134766,0.006662342023683524,0.0036890892777591945,1.0,4.2,6.6,0.9559999999999998,0,0
20,0.7,CHP,8,8,NA,NA,20,1.0,9.43,9.5,0.0,0.002758777141571045,0.00649010194687624,0.0036826109513640403,1.0,4.0,6.0,0.96,0,0
20,0.7,NP,NA,NA,1,1,20,1.0,8.855,8.725,0.0,5.3755078434944155,5.38167938830402,0.006116203311830759,64941.75,20.0,150.0,0.0,0,0
20,0.7,PP,2,2,2,2,20,1.0,8.872499999999999,8.725,0.0,0.13261383771896362,0.13765754104005676,0.00498937675729394,3426.1,12.45,58.1,0.6126666666666667,20,0
20,0.7,PP,2,2,4,4,20,1.0,8.897499999999999,8.725,0.0,0.03549879789352417,0.03994928025430804,0.004397057229653001,439.55,8.85,29.45,0.8036666666666668,20,0
20,0.7,PP,2,2,6,6,20,1.0,8.9375,8.725,0.0,0.02146115303039551,0.025678425861925074,0.004165116976946592,256.95,7.2,19.6,0.8693333333333333,20,0
20,0.7,PP,2,2,8,8,20,1.0,8.9375,8.725,0.0,0.02135756015777588,0.02547218680131757,0.00406264029443264,256.95,7.2,19.6,0.8693333333333333,20,0
20,0.7,PP,4,4,2,2,20,1.0,8.977500000000001,9.1,0.0,0.10219411849975586,0.106854055566141,0.004608099116012454,2363.6,12.0,54.0,0.64,20,0
20,0.7,PP,4,4,4,4,20,1.0,9.0975,9.225,0.0,0.02346303462982178,0.02768744593020835,0.004171993164345622,172.85,8.0,24.0,0.8400000000000001,20,0
20,0.7,PP,4,4,6,6,20,1.0,9.1625,9.425,0.0,0.004015731811523438,0.007855984044385504,0.003788463771343231,6.15,4.75,8.4,0.944,20,0
20,0.7,PP,4,4,8,8,20,1.0,9.1625,9.425,0.0,0.004033851623535156,0.007877680017332698,0.0037926378659904002,6.15,4.75,8.4,0.944,20,0
20,0.7,PP,6,6,2,2,20,1.0,8.977500000000001,9.1,0.0,0.10007096529006958,0.10464218518577592,0.00451975897885859,2272.25,12.0,54.0,0.64,20,0
20,0.7,PP,6,6,4,4,20,1.0,9.1725,9.225,0.0,0.02299075126647949,0.02720650125117626,0.004163394682109356,171.5,8.0,24.0,0.8400000000000001,20,0
20,0.7,PP,6,6,6,6,20,1.0,9.43,9.5,0.0,0.0029908537864685057,0.006802731634303212,0.0037595535162836314,1.0,4.2,6.6,0.9559999999999998,20,0
20,0.7,PP,6,6,8,8,20,1.0,9.43,9.5,0.0,0.002927505970001221,0.00672840415977025,0.0037499388214200734,1.0,4.2,6.6,0.9559999999999998,20,0
20,0.7,PP,8,8,2,2,20,1.0,8.977500000000001,9.1,0.0,0.0970964789390564,0.10159342017808821,0.004444920411333442,2190.85,12.0,54.0,0.64,20,0
20,0.7,PP,8,8,4,4,20,1.0,9.1725,9.225,0.0,0.02227591276168823,0.02651643893462105,0.004186777351424098,161.95,8.0,24.0,0.8400000000000001,20,0
20,0.7,PP,8,8,6,6,20,1.0,9.43,9.5,0.0,0.0028733015060424805,0.006750585220973396,0.003825766546651721,1.0,4.0,6.0,0.96,20,0
20,0.7,PP,8,8,8,8,20,1.0,9.43,9.5,0.0,0.0028616666793823244,0.006638510584362364,0.0037267808336764576,1.0,4.0,6.0,0.96,20,0
20,1.0,CHP,2,2,NA,NA,20,1.0,9.47,9.65,0.0,0.008727991580963134,0.013327763663627576,0.004545309254899621,35.6,5.55,11.55,0.923,0,0
20,1.0,CHP,4,4,NA,NA,20,1.0,9.55,9.725000000000001,0.0,0.0031841278076171877,0.006826918737372493,0.0035945359617471696,1.0,4.3,6.9,0.954,0,0
20,1.0,CHP,6,6,NA,NA,20,1.0,9.610000000000001,9.875,0.0,0.0027896761894226074,0.00662549470330379,0.0037881103344261646,1.0,4.05,6.15,0.959,0,0
20,1.0,CHP,8,8,NA,NA,20,1.0,9.610000000000001,9.875,0.0,0.00269775390625,0.006385999589880824,0.003639621241018176,1.0,4.0,6.0,0.96,0,0
20,1.0,NP,NA,NA,1,1,20,1.0,9.4225,9.55,0.0,5.139867663383484,5.146149336467387,0.006226538354530931,77266.8,20.0,150.0,0.0,0,0
20,1.0,PP,2,2,2,2,20,1.0,9.4375,9.55,0.0,0.11227699518203735,0.11702926328409051,0.004699900140985846,2668.1,12.0,54.0,0.64,20,0
20,1.0,PP,2,2,4,4,20,1.0,9.447500000000002,9.625,0.0,0.025229489803314208,0.029642749618071555,0.004359612474218011,207.75,8.05,24.3,0.8379999999999999,20,0
20,1.0,PP,2,2,6,6,20,1.0,9.47,9.65,0.0,0.0076527237892150875,0.011574917933828973,0.003870095917955041,35.6,5.55,11.55,0.923,20,0
20,1.0,PP,2,2,8,8,20,1.0,9.47,9.65,0.0,0.0073517560958862305,0.011160920290377165,0.0037590336054563523,35.6,5.55,11.55,0.923,20,0
20,1.0,PP,4,4,2,2,20,1.0,9.440000000000001,9.55,0.0,0.09822320938110352,0.1028722625151052,0.004597581597045064,2001.95,12.0,54.0,0.64,20,0
20,1.0,PP,4,4,4,4,20,1.0,9.45,9.625,0.0,0.02436412572860718,0.02854364005113936,0.004126893682405352,173.1,8.0,24.0,0.8400000000000001,20,0
20,1.0,PP,4,4,6,6,20,1.0,9.55,9.725000000000001,0.0,0.003209221363067627,0.007010812178588628,0.0037499268539249895,1.0,4.3,6.9,0.954,20,0
20,1.0,PP,4,4,8,8,20,1.0,9.55,9.725000000000001,0.0,0.003202188014984131,0.007072618338259865,0.003819594578817487,1.0,4.3,6.9,0.954,20,0
20,1.0,PP,6,6,2,2,20,1.0,9.440000000000001,9.55,0.0,0.0954853892326355,0.10000154935065339,0.004466146789491176,1967.4,12.0,54.0,0.64,20,0
20,1.0,PP,6,6,4,4,20,1.0,9.51,9.7,0.0,0.02359391450881958,0.02776225383319056,0.004115516366437077,171.25,8.0,24.0,0.8400000000000001,20,0
20,1.0,PP,6,6,6,6,20,1.0,9.610000000000001,9.875,0.0,0.0027991652488708494,0.006660438165258836,0.0038100105244666337,1.0,4.05,6.15,0.959,20,0
20,1.0,PP,6,6,8,8,20,1.0,9.610000000000001,9.875,0.0,0.0028408288955688475,0.0067112991172450535,0.0038201684597879647,1.0,4.05,6.15,0.959,20,0
